book,version,name
2,"sev","Exodo"
3,"sev","Levitico"
4,"sev","Numeros"
5,"sev","Deuteronomio"
6,"sev","Josue"
7,"nvip","Juizes"
8,"nvip","Rute"
11,"nvip","1-Reis"
12,"nvip","2-Reis"
13,"sev","1-Cronicas"
14,"sev","2-Cronicas"
15,"sev","Esdras"
16,"nvip","Neemias"
17,"sev","Ester"
18,"nvip","Jo"
19,"sev","Salmos"
20,"sev","Proverbios"
21,"sev","Eclesiastes"
22,"nvip","Cantares-de-salomao"
23,"sev","Isaias"
24,"sev","Jeremias"
25,"nvip","Lamentacoes-de-jeremias"
26,"sev","Ezequiel"
28,"nvip","Oseias"
31,"nvip","Obadias"
32,"sev","Jonas"
33,"nvip","Miqueias"
34,"nvip","Naum"
35,"nvip","Habacuque"
36,"sev","Sofonias"
37,"nvip","Ageu"
38,"sev","Zacarias"
39,"sev","Malaquias"
40,"nvip","Mateus"
41,"sev","Marcos"
42,"sev","Lucas"
43,"nvip","Joao"
44,"nvip","Atos"
45,"sev","Romanos"
46,"sev","1-Corintios"
47,"sev","2-Corintios"
48,"sev","Galatas"
49,"sev","Efesios"
50,"sev","Filipenses"
51,"nvip","Colossenses"
52,"nvip","1-Tessalonicenses"
53,"nvip","2-Tessalonicenses"
54,"sev","1-Timoteo"
55,"sev","2-Timoteo"
56,"sev","Tito"
57,"svv","Filemon"
58,"nvip","Hebreus"
59,"nvip","Tiago"
60,"sev","1-Pedro"
61,"sev","2-Pedro"
62,"nvip","1-Joao"
63,"nvip","2-Joao"
64,"nvip","3-Joao"
65,"svv","Judas"
66,"nvip","Apocalipse"
22,"ylt","Song-of-solomon"
7,"sev","Jueces"
8,"sev","Rut"
11,"sev","1-Reyes"
12,"sev","2-Reyes"
16,"sev","Nehemias"
22,"sev","Cantares"
25,"sev","Lamentaciones"
28,"sev","Oseas"
31,"sev","Abdias"
33,"sev","Miqueas"
35,"sev","Habacuc"
37,"sev","Hageo"
40,"sev","Mateo"
43,"sev","Juan"
44,"sev","Hechos"
51,"sev","Colosenses"
52,"sev","1-Tesalonicenses"
53,"sev","2-Tesalonicenses"
58,"sev","Hebreos"
59,"sev","Santiago"
62,"sev","1-Juan"
63,"sev","2-Juan"
64,"sev","3-Juan"
66,"sev","Apocalipsis"
22,"csb","Song-of-songs"
1,"cuvs","Chuangshiji"
2,"cuvs","Chuaijiji"
3,"cuvs","Liweiji"
4,"cuvs","Minshuji"
5,"cuvs","Shenmengji"
6,"cuvs","Yueshuyaji"
7,"cuvs","Shishiji"
8,"cuvs","Ludeji"
9,"cuvs","Samuerjishang"
10,"cuvs","Samuerjixia"
11,"cuvs","Liewangjishang"
12,"cuvs","Liewangjixia"
13,"cuvs","Lidaizhishang"
14,"cuvs","Lidaizhixia"
15,"cuvs","Yisilaji"
16,"cuvs","Niximiji"
17,"cuvs","Yisitieji"
18,"cuvs","Yuebo"
19,"cuvs","Shipian"
20,"cuvs","Zhenyan"
21,"cuvs","Chuandaoshu"
22,"cuvs","Yage"
23,"cuvs","Yisaiyashu"
24,"cuvs","Yelimishu"
25,"cuvs","Yelimiaige"
26,"cuvs","Yisijieshu"
27,"cuvs","Danyilishu"
28,"cuvs","Hexiashu"
29,"cuvs","Yueershu"
30,"cuvs","Amosishu"
31,"cuvs","Ebadiyashu"
32,"cuvs","Yuenashu"
33,"cuvs","Mijiashu"
34,"cuvs","Nahongshu"
35,"cuvs","Habagushu"
36,"cuvs","Xifanyashu"
37,"cuvs","Hagaishu"
38,"cuvs","Sajialiyashu"
39,"cuvs","Malajishu"
40,"cuvs","Mataifuyin"
41,"cuvs","Makefuyin"
42,"cuvs","Lujiafuyin"
43,"cuvs","Yuehanfuyin"
44,"cuvs","Shituxingzhuan"
45,"cuvs","Luomashu"
46,"cuvs","Gelinduoqianshu"
47,"cuvs","Gelinduohoushu"
48,"cuvs","Jialataishu"
49,"cuvs","Yifusuoshu"
50,"cuvs","Feilibishu"
51,"cuvs","Geluoxishu"
52,"cuvs","Tiesaluonijiaqianshu"
53,"cuvs","Tiesaluonijiahoushu"
54,"cuvs","Timotaiqianshu"
55,"cuvs","Ttimotaihoushu"
56,"cuvs","Tiduoshu"
57,"cuvs","Feilimenshu"
58,"cuvs","Xibolaishu"
59,"cuvs","Yageshu"
60,"cuvs","Bideqianshu"
61,"cuvs","Bidehoushu"
62,"cuvs","Yuehanyishu"
63,"cuvs","Yuehanershu"
64,"cuvs","Yuehansanshu"
65,"cuvs","Youdashu"
66,"cuvs","Qishilu"
3,"lut","Levitikus"
4,"riv","Numeri"
5,"lut","Deuternomium"
6,"lut","Josua"
7,"lut","Richter"
11,"lut","1-Konige"
12,"lut","2-Konige"
13,"lut","1-Chronik"
14,"lut","2-Chronik"
15,"lut","Esra"
16,"svv","Nehemia"
18,"lut","Hiob"
19,"lut","Psalm"
20,"lut","Sprueche"
21,"lut","Prediger"
22,"lut","Hohelied"
23,"svv","Jesaja"
24,"svv","Jeremia"
25,"lut","Klagelieder"
26,"lut","Hesekiel"
31,"svv","Obadja"
32,"svv","Jona"
33,"lut","Mica"
35,"svv","Habakuk"
36,"lut","Zephanja"
38,"lut","Sacharja"
39,"svv","Maleachi"
40,"lut","Matthaus"
41,"svv","Markus"
42,"svv","Lukas"
43,"svv","Johannes"
44,"lut","Apostelgeschichte"
45,"lut","Romer"
46,"lut","1-Korinther"
47,"lut","2-Korinther"
48,"lut","Galater"
49,"lut","Epheser"
50,"lut","Philipper"
51,"lut","Kolosser"
52,"lut","1-Thessalonicher"
53,"lut","2-Thessalonicher"
54,"svv","1-Timotheus"
55,"svv","2-Timotheus"
58,"lut","Hebraer"
59,"svv","Jakobus"
60,"svv","1-Petrus"
61,"svv","2-Petrus"
62,"svv","1-Johannes"
63,"svv","2-Johannes"
64,"svv","3-Johannes"
66,"lut","Offenbarung"
1,"riv","Genesi"
2,"riv","Esodo"
6,"riv","Giosue"
7,"riv","Giudici"
9,"riv","1-Samuele"
10,"riv","2-Samuele"
11,"riv","1-Re"
12,"riv","2-Re"
13,"riv","1-Cronache"
14,"riv","2-Cronache"
15,"riv","Esdra"
16,"riv","Neemia"
18,"riv","Giobbe"
19,"riv","Salmi"
20,"riv","Proverbi"
21,"riv","Ecclesiaste"
22,"riv","Cantico-dei-cantici"
23,"riv","Isaia"
24,"riv","Geremia"
25,"riv","Lamentazioni"
26,"riv","Ezechiele"
27,"riv","Daniele"
28,"riv","Osea"
29,"riv","Gioele"
31,"riv","Abdia"
32,"riv","Giona"
33,"riv","Michea"
35,"riv","Abacuc"
36,"riv","Sofonia"
37,"riv","Aggeo"
38,"riv","Zaccaria"
39,"riv","Malachia"
40,"riv","Matteo"
41,"riv","Marco"
42,"riv","Luca"
43,"riv","Giovanni"
44,"riv","Atti"
45,"riv","Romani"
46,"riv","1-Corinzi"
47,"riv","2-Corinzi"
48,"riv","Galati"
49,"riv","Efesini"
50,"riv","Filippesi"
51,"riv","Colossesi"
52,"riv","1-Tessalonicesi"
53,"riv","2-Tessalonicesi"
57,"riv","Filemone"
58,"riv","Ebrei"
59,"riv","Giacomo"
60,"riv","1-Pietro"
61,"riv","2-Pietro"
62,"riv","1-Giovanni"
63,"riv","2-Giovanni"
64,"riv","3-Giovanni"
65,"riv","Giuda"
66,"riv","Apocalisse"
1,"ost","Genese"
2,"ost","Exode"
3,"ost","Levitique"
4,"ost","Nombres"
5,"ost","Deuteronome"
7,"ost","Juges"
11,"ost","1-Rois"
12,"ost","2-Rois"
13,"ost","1-Chroniques"
14,"ost","2-Chroniques"
16,"ost","Nehemie"
19,"ost","Psaume"
20,"ost","Proverbes"
22,"ost","Cantique-des-cantiqu"
23,"ost","Esaie"
24,"ost","Jeremie"
28,"ost","Osee"
33,"ost","Michee"
36,"ost","Sophonie"
37,"ost","Aggee"
38,"ost","Zacharie"
39,"ost","Malachie"
40,"ost","Matthieu"
41,"ost","Marc"
42,"ost","Luc"
43,"ost","Jean"
44,"ost","Actes"
45,"ost","Romains"
46,"ost","1-Corinthiens"
47,"ost","2-Corinthiens"
48,"ost","Galates"
49,"ost","Ephesiens"
50,"ost","Philippiens"
51,"ost","Colossiens"
52,"ost","1-Thessaloniciens"
53,"ost","2-Thessaloniciens"
54,"ost","1-Timothee"
55,"ost","2-Timothee"
56,"ost","Tite"
58,"ost","Hebreux"
59,"ost","Jacques"
60,"ost","1-Pierre"
61,"ost","2-Pierre"
62,"ost","1-Jean"
63,"ost","2-Jean"
64,"ost","3-Jean"
66,"ost","Apocalypse"
1,"ojb","Bereshis"
2,"ojb","Shemot"
3,"ojb","Vayikra"
4,"ojb","Bamidbar"
5,"ojb","Devarim"
6,"ojb","Yehoshua"
7,"ojb","Shofetim"
8,"ojb","Shmuel-alef"
9,"ojb","Shmuel-bais"
10,"ojb","Melachim-alef"
11,"ojb","Melachim-bais"
12,"ojb","Yeshayah"
13,"ojb","Yirmeyah"
14,"ojb","Yechezkel"
15,"ojb","Hoshea"
16,"ojb","Yoel"
18,"ojb","Ovadyah"
19,"ojb","Yonah"
20,"ojb","Michoh"
21,"ojb","Nachum"
22,"ojb","Chabakuk"
23,"ojb","Tzefanyah"
24,"ojb","Chaggai"
25,"ojb","Zecharyah"
27,"ojb","Tehillim"
28,"ojb","Mishle"
29,"ojb","Iyov"
30,"ojb","Shir-hashirim"
32,"ojb","Ekhah"
33,"ojb","Kohelet"
37,"ojb","Nechemyah"
38,"ojb","Divrey-hayamim-alef"
39,"ojb","Divrey-hayamim-bais"
40,"ojb","Mattityahu"
41,"ojb","Markos"
43,"ojb","Yochanan"
44,"ojb","Gevurot"
45,"ojb","Kehillah-in-rome"
46,"ojb","Kehillah-in-corinth-i"
47,"ojb","Kehillah-in-corinth-ii"
48,"ojb","Kehillah-in-galatia"
49,"ojb","Kehillah-in-ephesus"
50,"ojb","Kehillah-in-philippi"
51,"ojb","Kehillah-in-colossae"
52,"ojb","Kehillah-in-thessalonika-i"
53,"ojb","Kehillah-in-thessalonika-ii"
54,"ojb","Timotiyos-i"
55,"ojb","Timotiyos-ii"
56,"ojb","Titos"
58,"ojb","Yehudim-in-moshiach"
59,"ojb","Yaakov"
60,"ojb","Kefa-i"
61,"ojb","Kefa-ii"
62,"ojb","Yochanan-i"
63,"ojb","Yochanan-ii"
64,"ojb","Yochanan-iii"
65,"ojb","Yehuda"
66,"ojb","Hisgalus"
4,"svv","Numberi"
5,"svv","Deuteronomium"
6,"svv","Jozua"
7,"svv","Richtere"
11,"svv","1-Koningen"
12,"svv","2-Koningen"
13,"svv","1-Kronieken"
14,"svv","2-Kronieken"
19,"svv","Psalmen"
20,"svv","Spreuken"
21,"svv","Prediker"
22,"svv","Hooglied"
25,"svv","Klaagliederen"
26,"svv","Ezechiel"
33,"svv","Micha"
36,"svv","Zefanja"
38,"svv","Zacharia"
40,"svv","Mattheus"
44,"svv","Handelingen"
45,"svv","Romeinen"
46,"svv","1-Corinthiers"
47,"svv","2-Corinthiers"
48,"svv","Galaten"
49,"svv","Efeziers"
50,"svv","Filippenzen"
51,"svv","Colossenzen"
52,"svv","1-Thessalonicenzen"
53,"svv","2-Thessalonicenzen"
58,"svv","Hebreeen"
66,"svv","Openbaring"
